年份,登記單位數,登記數,除戶數,轉讓數,變更數,絕育數,絕育除戶數,免絕育數,免絕育除戶數,絕育率,繁殖管理率
1998,1,1,1,1,1,0,0,0,0,nan,nan
1999,877,414340,337813,389,2391,95861,77353,113,14,24.18,24.31
2000,766,64786,50768,2272,7632,16993,12702,40,1,30.61,30.89
2001,666,19752,15977,1671,9951,7053,5379,22,3,44.34,44.85
2002,637,19817,15701,2108,11123,7275,5623,25,6,40.14,40.6
2003,713,29599,18446,1769,9440,9565,5858,125,22,33.24,34.16
2004,728,23377,10433,1816,23084,9803,4388,167,32,41.83,42.88
2005,790,27135,11785,1983,5698,11260,4997,271,51,40.8,42.23
2006,833,30158,12703,2356,2141,15629,7097,344,73,48.88,50.43
2007,904,35110,9888,2983,2489,19225,5035,473,75,56.26,57.84
2008,1061,63976,16427,3639,4014,34853,7819,844,176,56.86,58.26
2009,1136,61762,15416,4794,9708,38564,8667,1110,201,64.51,66.47
2010,1184,61612,13403,5666,17974,38374,7372,1218,184,64.31,66.45
2011,1340,98429,19470,6639,14209,55531,9364,2360,426,58.47,60.92
2012,1350,98963,17134,8117,18137,63285,9326,1797,245,65.94,67.84
2013,1458,186721,38046,11116,23630,110498,17630,5641,843,62.46,65.69
2014,1433,165798,32922,13744,24260,105630,16523,4765,743,67.06,70.09
2015,1471,166149,28268,15728,53854,113175,16902,4829,531,69.82,72.94
2016,1499,178981,24175,27002,109463,123172,12825,7141,1022,71.28,75.23
2017,1452,167716,15957,19927,108572,124851,10344,7564,879,75.45,79.86
2018,1629,193917,17198,49193,211189,132145,9282,8560,832,69.52,73.9
2019,1683,211169,16010,112960,335962,138972,7672,7727,520,67.28,70.97
2020,1792,212035,12417,133056,275482,135586,5455,7244,311,65.19,68.66
2021,1946,228961,9284,153887,252173,139879,3654,4074,111,62.01,63.82
