統計期,行業別,<b>家數總計</b>,<b>銷售額總計</b>
97年,0129-14寵物飼育,33,95397
97年,4533-13寵物批發,51,207537
97年,4699-22寵物用品批發,257,2267466
97年,4852-21寵物用品零售,1159,2757770
97年,4852-22寵物飼料零售,1038,8290439
97年,9690-21寵物美容、寄養,259,295292
97年,9690-23寵物（含導盲犬）訓練,1,(D)
98年,0129-14寵物飼育,45,113172
98年,4533-13寵物批發,58,269549
98年,4699-22寵物用品批發,290,2382868
98年,4852-21寵物用品零售,1259,2956010
98年,4852-22寵物飼料零售,1065,7263390
98年,9690-21寵物美容、寄養,316,347400
98年,9690-23寵物（含導盲犬）訓練,3,(D)
99年,0129-14寵物飼育,43,109983
99年,4533-13寵物批發,64,316214
99年,4699-22寵物用品批發,314,3109735
99年,4852-21寵物用品零售,1342,3362951
99年,4852-22寵物飼料零售,1069,7543948
99年,9690-21寵物美容、寄養,371,398404
99年,9690-23寵物（含導盲犬）訓練,2,(D)
100年,0129-14寵物飼育,49,129096
100年,4533-13寵物批發,76,374647
100年,4699-22寵物用品批發,360,3190722
100年,4852-21寵物用品零售,1478,3968381
100年,4852-22寵物飼料零售,1079,7309482
100年,9690-21寵物美容、寄養,475,434344
100年,9690-23寵物（含導盲犬）訓練,6,(D)
101年,0129-14寵物飼育,51,129606
101年,4533-13寵物批發,87,427092
101年,4699-22寵物用品批發,398,3918551
101年,4852-21寵物用品零售,1529,4353489
101年,4852-22寵物飼料零售,1072,7957975
101年,9690-21寵物美容、寄養,561,537269
101年,9690-23寵物（含導盲犬）訓練,14,(D)
,,,
,,,
說明：(D)表示不陳示數值以保護個別資料。,,,
